Order No. by Month,Client Name,PO Number,PO Received, Amount (IDR) Without Tax 11 % , Amount (USD) , Amount (AUD) ,Contact Person,DP Paid,Balance Paid,Total Monthly Amount (IDR),Total Monthly Amount (USD),Total Monthly Amount (AUD)
35,Six Senses Kyoto,,29/Mar/24,," USD  1,225.00 ",,,28/Mar/24,," IDR 2,441,036,000 "," USD  66,858.14 ", AUD  0  
1,Bokashi Pererenan,,01/Apr/24," IDR 5,827,500 ",,,,03/Jun/24,,,,
2,BGS,,04/Apr/24," IDR 5,520,000 ",,,,03/Apr/24,,,,
3,Milk and Madu Beach Road,,04/Apr/24," IDR 38,275,000 ",,,,03/Apr/24,,,,
4,Ulekan,,04/Apr/24," IDR 10,980,000 ",,,,03/Apr/24,,,,
5,Milk and Madu Berawa,,05/Apr/24," IDR 24,775,000 ",,,,03/Apr/24,,,,
6,Capella Sydney Brasserie,,09/Apr/24,," USD  10,065.00 ",,,17/Apr/24,,,,
7,The Westin Nusa Dua,1DSLV00066529,09/Apr/24," IDR 33,000,000 ",,,,,,,,
8,Alila Villas Uluwatu,PO24082240,12/Apr/24," IDR 16,250,000 ",,,,,,,,
9,Alila Villas Uluwatu,PO24082309,12/Apr/24," IDR 17,400,000 ",,,,,,,,
10,The Lemon Tree Curacao (2 Outlet),,12/Apr/24," IDR 720,637,500 ",,,,13/May/24,,,,
11,Ayana Hospitality (Dava),2024036815,15/Apr/24," IDR 123,025,000 ",,,,,,,,
12,Four Season Seychelles - Sample,SEY0054018,15/Apr/24,," USD  1,091.50 ",,,,,,,
13,Mamasan,35/2024,15/Apr/24," IDR 22,800,000 ",,,,18/Apr/24,,,,
14,Patina Home Kitchen (Teapot),,15/Apr/24,, USD  900.00 ,,,,,,,
15,Bokashi Pererenan,,16/Apr/24," IDR 28,050,000 ",,,,,,,,
16,Milk and Madu Ubud,,16/Apr/24," IDR 6,720,000 ",,,,,,,,
17,Raffles Singapore ,PO240013,17/Apr/24,," USD  7,819.50 ",,,22/Apr/24,,,,
18,Pablo Long time Asian Restaurant (Oval Plate),,17/Apr/24," IDR 5,600,000 ",,,,,,,,
19,Waldorf Astoria Maldives - The Ledge,MLEON50463,17/Apr/24,," USD  3,240.00 ",,,08/May/24,19/Jun/24,,,
20,Billy Ho,,17/Apr/24," IDR 5,880,000 ",,,,25/Apr/24,,,,
21,Milk and Madu Uluwatu,,19/Apr/24," IDR 67,700,000 ",,,,19/Apr/24,,,,
22,Alila Seminyak,PO00101966,19/Apr/24," IDR 4,300,000 ",,,,26/Apr/24,,,,
23,Waldorf Astoria Maldives - Destination Dining,MLEON50534,24/Apr/24,," USD  15,152.00 ",,,14/May/24,,,,
24,The Apurva Kempinski Bali - Reef,HW-151524,24/Apr/24," IDR 69,103,000 ",,,,06/May/24,,,,
25,The Apurva Kempinski Bali - Oku,HW-151525,24/Apr/24," IDR 25,882,750 ",,,,06/May/24,,,,
26,The Apurva Kempinski Bali - Koral,HW-151627,24/Apr/24," IDR 65,909,100 ",,,,06/May/24,,,,
27,The Apurva Kempinski Bali - Selasar,HW-151628,24/Apr/24," IDR 46,227,000 ",,,,06/May/24,,,,
28,Mandara SPA,32782,24/Apr/24," IDR 19,500,000 ",,,,30/May/24,,,,
29,Nihi Sumba,PO202404-03199,29/Apr/24," IDR 10,500,000 ",,,,17/May/24,,,,
31,Jumeirah Bali,,," IDR 15,150,000 ",,,,,," IDR 1,389,011,850 "," USD  38,268.00 ", AUD  0
1,Raffles Singapore ,PO240015,02/May/24," IDR 183,159,360 "," USD  11,832.00 ",,,13/May/24,02/Jul/24,,,
2,Jumeirah Bali,PO40489,03/May/24," IDR 15,150,000 ",,,,,,,,
3,PT Wakatobi Resort,PO/00958/03/04,03/May/24," IDR 1,440,000 ",,,,03/Apr/24,,,,
4,Seniman Coffee,,06/May/24," IDR 3,840,000 ",,,,14/May/24,,,,
5,Mason Uluwatu,,06/May/24," IDR 20,040,000 ",,,,03/Apr/24,,,,
6,The Damai Hotel,,07/May/24," IDR 53,050,000 ",,,,09/May/24,,,,
7,The Apurva Kempinski Bali - Additional,HW-153284,08/May/24," IDR 45,295,050 ",,,,28/May/24,,,,
8,Ku De Ta,,09/May/24," IDR 29,070,000 ",,,,14/May/24,,,,
9,Michael Lorenti - Personal Order,,09/May/24," IDR 30,960,000 ",,,,10/May/24,,,,
10,Mamasan,,09/May/24," IDR 6,360,000 ",,,,04/May/24,,,,
11,Nam Heong,,14/May/24," IDR 19,440,000 ",,,,18/May/24,18/Jul/24,,,
12,Filinvest,,14/May/24," IDR 770,880 ", USD  48.00 ,,,, ,,,
13,Wakatobi SAMPLE,M84,15/May/24," IDR 5,550,000 ",,,,,,,,
14,Budi Susanti -Personal Order,,16/May/24," IDR 6,950,000 ",,,,21/May/24,,,,
15,Expat,,16/May/24," IDR 58,618,800 ",,,,15/May/24,,,,
16,The Laguna Hotel Bali,,16/May/24," IDR 22,000,000 ",,,,,29/May/24,,,
17,Ayana Rimba - Toge,,16/May/24," IDR 47,975,000 ",,,,,,,,
18,Yawara,,16/May/24," IDR 271,590,000 ",,,,27/May/24,,,,
19,Chroma Hospitality - Inroom Amenities ,POR0000009714,17/May/24," IDR 150,603,500 "," USD  9,500.00 ",,,,,,,
20,Fairmont Jakarta,PO2405-19130,17/May/24," IDR 280,725,000 ",,,,20/May/24,,,,
21,Mozaic Ubud,,17/May/24," IDR 49,970,000 ",,,,21/May/24,,,,
22,Suarga - Defuser,,17/May/24," IDR 9,250,000 ",,,,21/May/24,,,,
23,Jumeirah Bali SAMPLE,PO41364,17/May/24," IDR 1,455,000 ",,,,,,,,
24,Michael Lorenti - Additional,,17/May/24," IDR 3,450,000 ",,,,,22/May/24,,,
25,Ismaya Jakarta - Skye,PO00405612,20/May/24," IDR 6,120,000 ",,,,,,,,
26,The Ritz Carlton Maldives - Inroom,RCPO24002597,20/May/24," IDR 80,453,975 "," USD  5,075.00 ",,,10/Jun/24,,,,
27,Maya Sanur,P240509038,20/May/24," IDR 6,032,500 ",,,,07/Jun/24,,,,
28,Maya Sanur,P240404067,20/May/24," IDR 20,995,000 ",,,,07/Jun/24,,,,
29,Ritz Carlton Bahrain - Cantina Kahlo,73N0700181699,21/May/24," IDR 241,758,250 "," USD  15,250.00 ",,,30/May/24,,,,
30,Riviera Pererenan,,21/May/24," IDR 116,166,000 ",,,,30/May/24,,,,
31,Bokashi Berawa,,22/May/24," IDR 15,360,000 ",,,,,,,,
32,Menjangan Dynasty,P240517012,22/May/24," IDR 5,760,000 ",,,,27/May/24,,,,
33,Grand Hyatt Kuwait,KWIGH0000070911,22/May/24," IDR 180,724,200 "," USD  11,400.00 ",,,28/Jun/24,,,,
34,Four Season Langkawi,LAN0182063,23/May/24," IDR 160,083,594 "," USD  10,098.00 ",,,,,,,
35,Six Sense Fiji,PO20205-01707,23/May/24," IDR 23,256,351 "," USD  1,467.00 ",,,,,,,
36,Wolf Gang Puck ,PO-Bmker/5927/05/WGP-ASI/2024,23/May/24," IDR 122,554,750 ",,,,,,,,
37,Mexicola Canggu,,23/May/24," IDR 27,150,000 ",,,,,22/May/24,,,
38,Further Hotel,,24/May/24," IDR 8,200,000 ",,,,29/May/24,,,,
39,Ismaya Jakarta - Charcoal,PO00001006,27/May/24," IDR 3,800,000 ",,,,19/Jul/24,,,,
40,Four Season Sayan SPA,UBU0136269,27/May/24," IDR 184,010,000 ",,,,11/Jun/24,,,,
41,Four Season Jakarta SPA,,27/May/24," IDR 85,050,000 ",,,,,,,,
42,Jeffrey Grimes,,27/May/24," IDR 42,928,380 "," USD  2,673.00 ",,,31/May/24,,,,
43,Santanera,,30/May/24," IDR 22,080,000 ",,,,,,,,
44,Hilton Bali,CS/0099/VI/24,31/May/24," IDR 501,306,200 ",,,,07/Jun/24,," IDR 2,987,342,430 "," USD  67,343.00 ", AUD  0
1,Raffles Hotel Singapore,,03/Jun/24," IDR 59,663,064 "," USD  3,855.00 ",,,,,,,
2,Jumeirah Bali  - Akasa Flame ,,03/Jun/24," IDR 57,900,000 ",,,,,,,,
3,Revolver International Airport,,03/Jun/24," IDR 47,110,000 ",,,,,,,,
4,Sindalah Luxury ,,03/Jun/24," IDR 1,959,760,800 "," USD  122,485.05 ",,,05/Jun/24,,,,
5,Sindalah Autograph,,03/Jun/24," IDR 3,739,458,400 "," USD  233,716.15 ",,,05/Jun/24,,,,
6,La Brisa,,03/Jun/24," IDR 41,200,000 ",,,,05/Jun/24,,,,
7,Optimist Pererenan - Additional,,03/Jun/24," IDR 38,665,000 ",,,,04/Jun/24,,,,
8,Driss Tabbakalt,,03/Jun/24," IDR 43,800,000 ",,,,04/Jun/24,,,,
9,Wolf Gang Puck Airport (Sample),PO-Bmker/5986/06/WGP-ASI/2024,04/Jun/24," IDR 635,000 ",,,,04/Jun/24,,,,
10,Dali & Jennifer,,04/Jun/24," IDR 42,700,000 ",,,,,10/Jul/24,,,
11,Buzo Salazon,,04/Jun/24," IDR 5,700,000 ",,,,,,,,
13,Indigo Bintan Chinesse Tea - Additional,PO/088/GAI/V/2024,05/Jun/24," IDR 105,030,000 ",,,,21/Jun/24,,,,
14,MG Hotel Supplies LLC - Royal Atlantis,PO3253,06/Jun/24," IDR 58,175,150 "," USD  3,610.00 ",,,19/Jun/24,,,,
15,The Royal Purnama ,,06/Jun/24," IDR 21,480,000 ",,,,06/Jun/24,,,,
16,Ayana Hospitality Bento Box (Sample),2024059905,06/Jun/24," IDR 1,265,000 ",,,,,,,,
17,MG Hotel Supplies LLC ,PO3256,07/Jun/24," IDR 23,882,430 "," USD  1,482.00 ",,,19/Jun/24,,,,
18,Bali Radiance,12803,07/Jun/24," IDR 6,000,000 ",,,,11/Jun/24,,,,
19,Nusantara Ubud,,11/Jun/24," IDR 23,302,000 ",,,,14/Jun/24,,,,
20,Pablo Longtime Restaurant (Cup),,11/Jun/24," IDR 9,750,000 ",,,,,,,,
21,Joali Maldives - In Villa Dining ,B202406-03197,12/Jun/24," IDR 123,859,890 "," USD  7,686.00 ",,,19/Jun/24,,,,
22,Bali Dorm Villas - Joyce & Ralph,,12/Jun/24," IDR 128,782,000 ",,,,14/Jun/24,,,,
23,Milk Bar,,14/Jun/24," IDR 6,360,000 ",,,,19/Jun/24,,,,
24,Capella Ubud,19592-217/1,14/Jun/24," IDR 5,750,000 ",,,,24/Jun/24,,,,
25,Indigo Bandung ,509/BpHotelindigo/VI/2024,17/Jun/24," IDR 372,735,000 ",,,,24/Jun/24,,,,
26,Pan Pasific Good Stock,,17/Jun/24," IDR 6,379,000 ",,,,,,,,
27,Da Maria - Sample,,19/Jun/24," IDR 1,890,000 ",,,,,,,,
28,Nihi Sumba,,19/Jun/24," IDR 21,720,000 ",,,,27/Jun/24,,,,
29,Six Sense London Link,PO-GB01-00048-1,20/Jun/24," IDR 238,032,795 "," USD  15,015.00 ",,,25/Jun/24,,,,
30,Andaz Bali,DPSAZ0000041351,21/Jun/24," IDR 10,000,000 ",,,,,,,,
31,Ismaya Jakarta Charcoal (Prima Fenomena Jaya),PO00001741,25/Jun/24," IDR 26,560,000 ",,,,19/Jul/24,,,,
32,Six Sense Southern Dunes - Inroom,PO000000000000472,25/Jun/24," IDR 6,702,713 ", USD  412.50 ,,,,,,,
33,Regent Canggu Mini Bar,,25/Jun/24," IDR 159,637,500 ",,,,20/Jul/24,,,,
34,Regent Canggu Vanity Counter,,25/Jun/24," IDR 189,337,500 ",,,,05/Jul/24,,,,
35,Raffles Bali,PO202406-05894,25/Jun/24," IDR 133,190,000 ",,,,09/Aug/24,,,,
36,Maya Ubud,P24020076-REPRINT2,26/Jun/24," IDR 7,500,000 ",,,,01/Jul/24,," IDR 1,860,020,978 "," USD  28,205.50 ", AUD  0
1,Bvlgary SAMPLE,,01/Jul/24," IDR 2,690,000 ",,,,02/Jul/24,04/Jul/24,,,
2,Sofitel,81364957975801SF2H0Z,01/Jul/24," IDR 9,975,000 ",,,,,,,,
3,The Laguna,1HSLW00081125,01/Jul/24," IDR 6,000,000 ",,,,,,,,
4,Sofitel,81364957975801SF2H0N,01/Jul/24," IDR 4,275,000 ",,,,,,,,
5,Simon & Son's,,02/Jul/24," IDR 170,485,000 ",,,,04/Jul/24,,,,
6,Maya Sanur,P240627028,03/Jul/24," IDR 5,400,000 ",,,,,,,,
7,Barbarossa,,03/Jul/24," IDR 20,475,000 ",,,,03/Jul/24,,,,
8,Anna Kersova,,05/Jul/24," IDR 245,602,158 "," USD  15,095.40 ",,,,,,,
9,Milk and Madu Additional,,08/Jul/24," IDR 12,100,000 ",,,,,,,,
10,BGS,,08/Jul/24," IDR 3,600,000 ",,,,,08/Jul/24,,,
11,Samanvaya Additional,,08/Jul/24," IDR 3,225,000 ",,,,,,,,
12,Tanadewa,P240705050,09/Jul/24," IDR 38,520,000 ",,,,18/Jul/24,,,,
13,Andaz Bali,DPSAZ0000042286,09/Jul/24," IDR 17,350,000 ",,,,,,,,
14,The Westin Nusa Dua,1DSL00082009,11/Jul/24," IDR 14,000,000 ",,,,,,,,
15,French Kiss SAMPLE,,12/Jul/24," IDR 780,000 ",,,,,,,,
16,Grand Hyatt Jakarta,JAKGH0000195719,15/Jul/24," IDR 840,000 ",,,,,,,,
17,La Plancha,,15/Jul/24," IDR 34,500,000 ",,,,16/Jul/24,,,,
18,Regent Canggu Inroom Self Decoration - Bedroom Suites,,16/Jul/24," IDR  284,359,000 ",,,,05/Jul/24,,,,
19,Regent Canggu Inroom Self Decoration - Studio Suites,,16/Jul/24," IDR  195,083,500 ",,,,05/Jul/24,,,,
20,Bokashi (Incense Holder),,16/Jul/24," IDR  2,850,000 ",,,,,,,,
21,Riviera Pererenan Additional (Peanut Bowl),,18/Jul/24," IDR  1,200,000 ",,,,16/Jul/24,,,,
22,Alila Villas Uluwatu CIRE,PO24086178,18/Jul/24," IDR  256,319,500 ",,,,,,,,
23,The Westin Nusa Dua Ikan Additional,1DSLV00083142,18/Jul/24," IDR  42,379,500 ",,,,,,,,
24,Motel Mexicola Seminyak,,19/Jul/24," IDR  9,250,000 ",,,,18/Jul/24,,,,
25,Billy Ho,,19/Jul/24," IDR  3,300,000 ",,,,29/Jul/24,,,,
26,Tejaprana Resort and Spa - Kitchen,,19/Jul/24," IDR  63,400,000 ",,,,29/Jul/24,,,,
27,Tejaprana Resort and Spa - FBS,,19/Jul/24," IDR  21,450,000 ",,,,29/Jul/24,,,,
28,Tejaprana Resort and Spa - HK,,19/Jul/24," IDR  15,300,000 ",,,,29/Jul/24,,,,
29,Soichiro,,19/Jul/24," IDR  14,880,000 ",,,,,,,,
30,Six Sense Residence London,,19/Jul/24," IDR  26,713,180 "," USD  1,651.00 ",,,,19/Jul/24,,,
31,Maya Ubud,P240621013-REPRINT1,24/Jul/24," IDR  25,412,500 ",,,,,,,,
32,KuDeTa,,25/Jul/24," IDR  15,200,000 ",,,,29/Jul/24,,,,
33,Riviera Pererenan Cup,,25/Jul/24," IDR  5,670,000 ",,,,,,,,
34,Kiros Hospitality,KHM-2024-037,25/Jul/24," IDR  44,664,890 "," USD  2,760.50 ",,,29/Jul/24,,,,
35,Arya Sumba Resort,,26/Jul/24," IDR  38,640,000 ",,,,13/Sep/24,,,,
36,Mactan Seascapes Services,POR0000012559,26/Jul/24," IDR  386,279,378 "," USD  23,873.88 ",,,21/Aug/24,,,,
37,Waterbom,,30/Jul/24," IDR  21,120,000 ",,,,,,,,
38,Gingermoon,,30/Jul/24," IDR  33,750,000 ",,,,18/Jul/24,,,,
39,Nihi Rote,,30/Jul/24," IDR 135,360,000 ",,,,,," IDR 2,219,733,606 "," USD  43,380.78 ", AUD  0
1,Ismaya Social Garden,PO00416719,01/Aug/24," IDR  17,880,000 ",,,,21/Aug/24,,,,
2,Monokuro,,01/Aug/24," IDR  5,100,000 ",,,,16/Aug/24,,,,
3,St Regis Jakarta,,01/Aug/24," IDR 345,847,500 ",,,,,,,,
4,Buahan A Banyan Tree Seascape,POBTE2407062,02/Aug/24," IDR 54,378,000 ",,,,07/Aug/24,,,,
5,The Ritz Carlton Maldives Decoration,RCP024004854,02/Aug/24," IDR 26,889,388 "," USD  1,637.50 ",,,15/Aug/24,,,,
6,The Ritz Carlton Maldives ,RCPO24005133,07/Aug/24," IDR 84,707,729 "," USD  5,158.50 ",,,15/Aug/24,,,,
7,Rosewood Hotel Doha,P10000628/KEV/24,08/Aug/24," IDR 154,767,925 "," USD  9,425.00 ",,,,,,,
8,Hujan Locale,,08/Aug/24," IDR 11,310,000 ",,,,16/Aug/24,,,,
9,Micha Sanubari,,08/Aug/24," IDR 28,200,000 ",,,,16/Aug/24,,,,
10,Maya Sanur ,P240807044,09/Aug/24," IDR 4,275,000 ",,,,,,,,
11,Six Sense Uluwatu (Pump),PO202408-15996,09/Aug/24," IDR 8,000,000 ",,,,,,,,
12,Age Butcher Bali,,12/Aug/24," IDR 137,910,000 ",,,,,,,,
13,Shelter Seminyak (Ramekin),,12/Aug/24," IDR 3,500,000 ",,,,,,,,
14,Shelter Pererenan - Cocktail Range,,12/Aug/24," IDR 21,000,000 ",,,,,,,,
15,French Kiss (PT Jeevawasa),,13/Aug/24," IDR 30,660,000 ",,,,,20/Jul/24,,,
16,The Cave,,14/Aug/24," IDR 3,350,000 ",,,,,,,,
17,Indigo Hotel Seminyak,PO43890,16/Aug/24," IDR 87,240,000 ",,,,,,,,
18,Expat,PO2048,16/Aug/24," IDR 258,550,000 ",,,,,,,,
19,Rayjin,,19/Aug/24," IDR 18,760,000 ",,,,20/Aug/24,,,,
