invoice_number,Date,Company_Name,Brand_Name,Total,Customer_Category,Trade_Type,Total_Quantity,Full_Address,Country,Total_Invoice_USD
INV-1695/KEVALA/OUT/VII/2023,2024-01-30,surya jaya plastik sjp,SJP-Beatrice,80752500.0,Personal,Local,342.0,Jl. Bakilong No. 88 A RT. 008 / 004 Desa Sukasari Kecamatan Serang Baru Kabupaten Bekasi,Indonesia,4981.555551909039
INV-1696/KEVALA/OUT/I/2024,2024-02-16,mg hotel supplies llc,MG Hotel,864.0,Agent,Export,24.0,"#14, Al Asayel Street
Al Quoz, PO Box 31862
Dubai, United Arab Emirates",United Arab Emirates,864.0
INV-1697/KEVALA/OUT/I/2024,2024-03-01,maya resort,Maya Sanur,1708290.0,Hotel,Local,8.0,"JL. DANAU TAMBLINGAN NO. 87A, SANUR - KOTA DENPAS",Indonesia,105.38301023213762
INV-1698/KEVALA/OUT/I/2024,2024-03-23,hotel pandan arum,Maya Ubud,4592347.0,Hotel,Local,43.0,"Jalan Gunung  Sari Peliatan Ubud Gianyar
Gianyar Bali
Indonesia",Indonesia,283.2981232053846
INV-1699/KEVALA/OUT/I/2024,2024-03-01,abirupa nusa cipta,Tejaprana Bisma,6660000.0,Hotel,Local,20.0,,Indonesia,410.84994242548777
INV-1700/KEVALA/OUT/XI/2023,2024-01-31,japa putra wijaka,Japa Ubud,22866000.0,Hotel,Local,120.0,,Indonesia,1410.584802327508
INV-1702/KEVALA/OUT/I/2024,2024-02-01,citra jimbaran indah hotel,Intercontinental Bali Resort,14407800.0,Hotel,Local,66.0,"Jl. Raya Uluwatu No. 45 , Jimbaran, Bali Kab. Badung Bali
Badung Bali 80361
Indonesia",Indonesia,888.8053754471385
INV-1703/KEVALA/OUT/I/2024,2024-02-01,citra jimbaran indah hotel,Intercontinental Bali Resort,15800000.0,Hotel,Local,50.0,"Jl. Raya Uluwatu No. 45 , Jimbaran, Bali Kab. Badung Bali
Badung Bali 80361
Indonesia",Indonesia,974.689052601007
INV-1704/KEVALA/OUT/I/2024,2024-02-01,bali nusaintan,The Ritz Carlton Bali,11632800.0,Hotel,Local,32.0,"Jalan Raya Nusa Dua Lot #3, Banjar Sawangan, Nusa Dua, Bali.",Indonesia,717.6178994365187
INV-1705/KEVALA/OUT/I/2024,2024-02-01,"loka neka jaya, pt",Locavore NXT,3413250.0,Restaurant,Local,21.0,"Jl. Dewi Sita No. 10B, Ubud, Kec. Ubud, Kab. Gianyar Bali 80571",Indonesia,210.5605954930625
INV-1707/KEVALA/OUT/I/2024,2024-02-01,dewata jaya land,Amnaya Resort,11222100.0,Hotel,Local,78.0,,Indonesia,692.2821529869469
INV-1708/KEVALA/OUT/I/2024,2024-02-02,griya bali dwipa,The Legian,45004950.0,Hotel,Local,260.0,"Jl. Kayu Aya, Seminyak, kec. Kuta Kab Abdung Bali 80361",Indonesia,2776.3184859402336
INV-1710/KEVALA/OUT/I/2024,2024-02-02,bali perkasa sukses,Indigo Bali,9990000.0,Hotel,Local,50.0,"Jl. Camplung Tanduk No.10, Seminyak Bali 80361",Indonesia,616.2749136382316
INV-1711/KEVALA/OUT/I/2024,2024-02-02,bali perkasa sukses,Indigo Bali,2821065.0,Hotel,Local,17.0,"Jl. Camplung Tanduk No.10, Seminyak Bali 80361",Indonesia,174.0291881123962
INV-1712/KEVALA/OUT/I/2024,2024-02-06,sutera bali,Mamasan Dimsum,3663000.0,Restaurant,Local,60.0,,Indonesia,225.9674683340183
INV-1713/KEVALA/OUT/I/2024,2024-02-06,nativa graha saji,Billy Ho,1465200.0,Restaurant,Local,24.0,,Indonesia,90.38698733360731
INV-1715/KEVALA/OUT/I/2024,2024-02-07,maya resort,Maya Sanur,10465912.0,Hotel,Local,39.0,"JL. DANAU TAMBLINGAN NO. 87A, SANUR - KOTA DENPAS",Indonesia,645.6335349294627
INV-1716/KEVALA/OUT/I/2024,2024-02-07,maya resort,Maya Sanur,7492500.0,Hotel,Local,30.0,"JL. DANAU TAMBLINGAN NO. 87A, SANUR - KOTA DENPAS",Indonesia,462.20618522867375
INV-1717/KEVALA/OUT/I/2024,2024-02-08,citra jimbaran indah hotel,Intercontinental Bali Resort,6909750.0,Hotel,Local,55.0,"Jl. Raya Uluwatu No. 45 , Jimbaran, Bali Kab. Badung Bali
Badung Bali 80361
Indonesia",Indonesia,426.2568152664436
INV-1718/KEVALA/OUT/I/2024,2024-02-08,citra jimbaran indah hotel,Intercontinental Bali Resort,8158500.0,Hotel,Local,75.0,"Jl. Raya Uluwatu No. 45 , Jimbaran, Bali Kab. Badung Bali
Badung Bali 80361
Indonesia",Indonesia,503.2911794712225
INV-1719/KEVALA/OUT/I/2024,2024-02-09,griya bali dwipa,The Legian,4917300.0,Hotel,Local,40.0,"Jl. Kayu Aya, Seminyak, kec. Kuta Kab Abdung Bali 80361",Indonesia,303.34420749081846
INV-1720/KEVALA/OUT/I/2024,2024-02-09,bottega,Bottega,15262500.0,Restaurant,Local,50.0,,Indonesia,941.5311180584094
INV-1721/KEVALA/OUT/I/2024,2024-02-09,shelter indonesia group,Shelter Seminyak,28049700.0,Restaurant,Local,308.0,,Indonesia,1730.363007515346
INV-1722/KEVALA/OUT/II/2024,2024-02-09,bali perkasa sukses,Indigo Bali,4506045.0,Hotel,Local,25.0,"Jl. Camplung Tanduk No.10, Seminyak Bali 80361",Indonesia,277.9742235460446
INV-1723/KEVALA/OUT/II/2024,2024-02-12,bokashi berawa,Bokashi Berawa,170229600.0,Restaurant,Local,1122.0,"
Indonesia",Indonesia,10501.324528395467
INV-1724/KEVALA/OUT/II/2024,2024-02-12,bali perkasa sukses,Indigo Bali,8857800.0,Hotel,Local,44.0,"Jl. Camplung Tanduk No.10, Seminyak Bali 80361",Indonesia,546.4304234258988
INV-1725/KEVALA/OUT/II/2024,2024-02-13,sejahtera indoco,Nusa Dua Beach,282737812.0,Hotel,Local,1325.0,"Kawasan BTDC Blok N.4 Nusa Dua, Kel. Benoa, Kec. Kuta Selatan, Kab. Badung, Prop. Bali
ID - 80363 Bali",Indonesia,17441.863931187447
INV-1726/KEVALA/OUT/II/2024,2024-02-13,seniman industries,Seniman Caffe,3552000.0,Hotel,Local,40.0,,Indonesia,219.11996929359347
INV-1727/KEVALA/OUT/II/2024,2024-02-17,citra jimbaran indah hotel,Intercontinental Bali Resort,3885000.0,Hotel,Local,35.0,"Jl. Raya Uluwatu No. 45 , Jimbaran, Bali Kab. Badung Bali
Badung Bali 80361
Indonesia",Indonesia,239.66246641486788
INV-1728/KEVALA/OUT/II/2024,2024-02-17,indonesia adventure sport,Nihi Sumba,38295000.0,Hotel,Local,240.0,"Jl. Setia Budi Kuta, Pertokoan Kuta Poleng Blok C2 Kuta Badung Bali 80361",Indonesia,2362.3871689465545
INV-1732/KEVALA/OUT/V/2024,2024-05-14,patina maldives fari islands,Patina Maldives,37372.5,Hotel,Export,2978.0,"#02-01, Millennia Tower 10 Ameer Ahmed Magu, Male Republic of Maldives",Maldives,37372.5
INV-1733/KEVALA/OUT/II/2024,2024-02-19,clandestino food group,Riviera,10256400.0,Restaurant,Local,72.0,"Jl. Pemelisan Agung Tibubeneng, kec. Kuta Utara Kab Badung Bali 80361",Indonesia,632.7089113352512
INV-1735/KEVALA/OUT/II/2024,2024-02-21,vista padang asri,Suarga Resort,2497500.0,Hotel,Local,30.0,,Indonesia,154.0687284095579
INV-1736/KEVALA/OUT/II/2024,2024-02-23,graha alam lestari,The Apurva Kempinski Bali,173283626.0,Hotel,Local,944.0,"Jl. Raya Nusa Dua Selatan Lot 4, Benoa, Kec. Kuta Selatan, Kab. Badung, Bali",Indonesia,10689.72488969666
INV-1741/KEVALA/OUT/II/2024,2024-02-26,griya pancaloka,Sofitel Bali Nusa Dua Beach Resort,9190800.0,Hotel,Local,41.0,Kawasan Pariwisata Nusa Dua Celuk BTDC Lot N5 ; Kota. Kab. Badung,Indonesia,566.9729205471731
INV-1742/KEVALA/OUT/II/2024,2024-02-26,indonesia adventure sport,Nihi Sumba,33699600.0,Hotel,Local,120.0,"Jl. Setia Budi Kuta, Pertokoan Kuta Poleng Blok C2 Kuta Badung Bali 80361",Indonesia,2078.900708672968
INV-1743/KEVALA/OUT/II/2024,2024-02-26,maya resort,Maya Sanur,2109000.0,Hotel,Local,20.0,"JL. DANAU TAMBLINGAN NO. 87A, SANUR - KOTA DENPAS",Indonesia,130.10248176807113
INV-1744/KEVALA/OUT/II/2024,2024-02-26,maya resort,Maya Sanur,421800.0,Hotel,Local,4.0,"JL. DANAU TAMBLINGAN NO. 87A, SANUR - KOTA DENPAS",Indonesia,26.020496353614227
INV-1745/KEVALA/OUT/II/2024,2024-04-25,hotel pandan arum,Maya Ubud,2114272.0,Hotel,Local,16.0,"Jalan Gunung  Sari Peliatan Ubud Gianyar
Gianyar Bali
Indonesia",Indonesia,130.42770712790104
INV-1746/KEVALA/OUT/II/2024,2024-02-26,bali perkasa sukses,Indigo Bali,19785750.0,Hotel,Local,120.0,"Jl. Camplung Tanduk No.10, Seminyak Bali 80361",Indonesia,1220.56670395572
INV-1747/KEVALA/OUT/II/2024,2024-02-26,abirupa nusa cipta,Tejaprana Bisma,16983000.0,Hotel,Local,150.0,,Indonesia,1047.6673531849938
INV-1751/KEVALA/OUT/II/2024,2024-02-29,kala hospitality group,Kala Uluwatu,166056000.0,Restaurant,Local,580.0,"Jl. Labuansait, Pecatu, Kec. Kuta Selatan, Kab. Badung, Bali.",Indonesia,10243.858564475495
INV-1752/KEVALA/OUT/II/2024,2024-03-23,prima fenomena jaya,Prima Fenomena Jaya,72333150.0,Restaurant,Local,315.0,,Indonesia,4462.172749692819
INV-1753/KEVALA/OUT/II/2024,2024-03-23,prima fenomena jaya,Prima Fenomena Jaya,68398200.0,Restaurant,Local,300.0,,Indonesia,4219.4289087097595
INV-1754/KEVALA/OUT/II/2024,2024-02-29,the lombok lodge,Lombok Lodge,67710000.0,Hotel,Local,400.0,"Dsn Teluk Dalem, Medana, Tanjung, Kab. Lombok Utara",Indonesia,4176.974414659126
INV-1755/KEVALA/OUT/II/2024,2024-03-04,griya pancaloka,Sofitel Bali Nusa Dua Beach Resort,23842800.0,Hotel,Local,195.0,Kawasan Pariwisata Nusa Dua Celuk BTDC Lot N5 ; Kota. Kab. Badung,Indonesia,1470.8427938832463
INV-1756/KEVALA/OUT/II/2024,2024-03-04,bokashi berawa,Bokashi Berawa,3996000.0,Restaurant,Local,15.0,"
Indonesia",Indonesia,246.50996545529267
INV-1757/KEVALA/OUT/II/2024,2024-03-04,griya pancaloka,Sofitel Bali Nusa Dua Beach Resort,5427900.0,Hotel,Local,28.0,Kawasan Pariwisata Nusa Dua Celuk BTDC Lot N5 ; Kota. Kab. Badung,Indonesia,334.8427030767725
INV-1758/KEVALA/OUT/III/2024,2024-03-04,maya resort,Maya Sanur,14014305.0,Hotel,Local,54.0,"JL. DANAU TAMBLINGAN NO. 87A, SANUR - KOTA DENPAS",Indonesia,864.5309913488327
INV-1759/KEVALA/OUT/III/2024,2024-03-05,batu mejan sukses bersama bali,La Brisa,6393600.0,Restaurant,Local,24.0,,Indonesia,394.4159447284683
INV-1760/KEVALA/OUT/III/2024,2024-03-26,karang mas sejahtera,Ayana Hospitality,16872000.0,Hotel,Local,100.0,"JL KARANG MAS SEJAHTERA, LINGKUNGAN PESALAKAN",Indonesia,1040.819854144569
INV-1761/KEVALA/OUT/III/2024,2024-03-05,hotel indonesia sanur international,Meru,1599693000.0,Hotel,Local,11000.0,,Indonesia,98683.75029256093
INV-1762/KEVALA/OUT/III/2024,2024-03-05,hotel indonesia sanur international,Meru,116064000.0,Hotel,Local,270.0,,Indonesia,7159.893050701474
INV-1763/KEVALA/OUT/III/2024,2024-03-06,revolver cinta kopi,Revolver,32495250.0,Restaurant,Local,155.0,JL KAYU AYA GG 51 LINGKUNGAN BASANGKASA Blok - No.- RT:000 RW:000 Kel.SEMINYAK  Kec.KUTA Kota/Kab.KAB. BADUNG BALI 80761,Indonesia,2004.605344084359
INV-1764/KEVALA/OUT/III/2024,2024-03-07,cahaya warna prima,Six Sense Uluwatu,22200000.0,Hotel,Local,500.0,"Jl. Goa Lempeh, Uluwatu Kec. Kuta Selatan Kab Badung Bali 80361",Indonesia,1369.4998080849593
INV-1765/KEVALA/OUT/III/2024,2024-03-08,maya resort,Maya Sanur,11810400.0,Hotel,Local,80.0,"JL. DANAU TAMBLINGAN NO. 87A, SANUR - KOTA DENPAS",Indonesia,728.5738979011983
INV-1766/KEVALA/OUT/III/2024,2024-03-14,renarte general trading llc,Renarte,508.8,Agent,Export,24.0,"Office # 804, grosveenor Business Tower, PO Box 123568, barsha Heights, Dubai, United Arab Emirates",United Arab Emirates,508.8
INV-1767/KEVALA/OUT/III/2024,2024-03-13,kafe ubud,Hanoman Kafe,31080000.0,Restaurant,Local,200.0,"Jl. Hanoman No.44B, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali.",Indonesia,1917.299731318943
INV-1768/KEVALA/OUT/III/2024,2024-03-13,amanda arumdhani,Four Season Sayan,29559300.0,Hotel,Local,120.0,"Br. Kutuh, Desa Sayan, Ubud, Bali.",Indonesia,1823.4889944651234
INV-1769/KEVALA/OUT/III/2024,2024-03-14,bali perkasa sukses,Indigo Bali,4528800.0,Hotel,Local,48.0,"Jl. Camplung Tanduk No.10, Seminyak Bali 80361",Indonesia,279.3779608493317
INV-1770/KEVALA/OUT/III/2024,2024-03-14,six senses amaala,Amaala,525.45,Hotel,Export,,,Saudi Arabia,525.45
INV-1771/KEVALA/OUT/III/2024,2024-03-15,maya resort,Maya Sanur,37550745.0,Hotel,Local,328.0,"JL. DANAU TAMBLINGAN NO. 87A, SANUR - KOTA DENPAS",Indonesia,2316.4746878805063
INV-1772/KEVALA/OUT/III/2024,2024-03-15,amanda arumdhani,Four Season Sayan,37945350.0,Hotel,Local,144.0,"Br. Kutuh, Desa Sayan, Ubud, Bali.",Indonesia,2340.8175469692164
INV-1773/KEVALA/OUT/III/2024,2024-03-23,bali bayad development,Begawan Sweet and Sawah,118631250.0,Restaurant,Local,610.0,JL PANTAI BERAWA NO 150 UNIT 3,Indonesia,7318.264599454001
INV-1774/KEVALA/OUT/III/2024,2024-03-08,brett hospitality group,Mason Uluwatu,29270700.0,Restaurant,Local,102.0,,Indonesia,1805.6854969600188
INV-1775/KEVALA/OUT/III/2024,2024-03-23,bukit uluwatu villa,Alila Uluwatu,9706950.0,Hotel,Local,53.0,"Jl. Belimbing Sari, Banjar Tambiyak, Desa Pecatu, Bali, Indonesia.",Indonesia,598.8137910851484
INV-1776/KEVALA/OUT/III/2024,2024-03-23,dapur karya enak,Woo Bo Restaurant,94405500.0,Restaurant,Local,390.0,JL WOLTER MONGINSIDI  4 & 6,Indonesia,5823.797933881289
INV-1778/KEVALA/OUT/III/2024,2024-03-23,bukit uluwatu villa,Alila Uluwatu,10989000.0,Hotel,Local,60.0,"Jl. Belimbing Sari, Banjar Tambiyak, Desa Pecatu, Bali, Indonesia.",Indonesia,677.9024050020548
INV-1779/KEVALA/OUT/III/2024,2024-03-23,bukit uluwatu villa,Alila Uluwatu,6594510.0,Hotel,Local,31.0,"Jl. Belimbing Sari, Banjar Tambiyak, Desa Pecatu, Bali, Indonesia.",Indonesia,406.8099179916372
INV-1780/KEVALA/OUT/III/2024,2024-03-23,jaddi globalindo,AW Kitchen,45421200.0,Restaurant,Local,144.0,,Indonesia,2801.996607341827
INV-1782/KEVALA/OUT/III/2024,2024-03-23,bali perkasa sukses,Indigo Bali,6554550.0,Hotel,Local,28.0,"Jl. Camplung Tanduk No.10, Seminyak Bali 80361",Indonesia,404.34481833708423
INV-1783/KEVALA/OUT/III/2024,2024-03-23,bali perkasa sukses,Indigo Bali,13691850.0,Hotel,Local,93.0,"Jl. Camplung Tanduk No.10, Seminyak Bali 80361",Indonesia,844.6390066363987
INV-1784/KEVALA/OUT/III/2024,2024-03-25,bali perkasa sukses,Indigo Bali,4334550.0,Hotel,Local,25.0,"Jl. Camplung Tanduk No.10, Seminyak Bali 80361",Indonesia,267.3948375285883
INV-1785/KEVALA/OUT/III/2024,2024-03-26,bukit uluwatu villa,Alila Uluwatu,5494500.0,Hotel,Local,30.0,"Jl. Belimbing Sari, Banjar Tambiyak, Desa Pecatu, Bali, Indonesia.",Indonesia,338.9512025010274
INV-1786/KEVALA/OUT/III/2024,2024-03-26,bukit uluwatu villa,Alila Uluwatu,5006100.0,Hotel,Local,22.0,"Jl. Belimbing Sari, Banjar Tambiyak, Desa Pecatu, Bali, Indonesia.",Indonesia,308.82220672315833
INV-1789/KEVALA/OUT/III/2024,2024-03-26,selera dapur sedap,Jin Joo,78854400.0,Restaurant,Local,416.0,,Indonesia,4864.463318317776
INV-1790/KEVALA/OUT/III/2024,2024-03-26,dapur karya enak,Woo Bo Restaurant,12987000.0,Restaurant,Local,90.0,JL WOLTER MONGINSIDI  4 & 6,Indonesia,801.1573877297012
INV-1791/KEVALA/OUT/III/2024,2024-03-26,the sanubari hotel,MDA ABS Kuningan,7492500.0,Hotel,Local,50.0,"Pantai Dasang, Harona Kala, Laboya Barat, West Sumba Regency, East Nusa Tenggara",Indonesia,462.20618522867375
INV-1792/KEVALA/OUT/III/2024,2024-03-27,indonesia adventure sport,Nihi Sumba,3729600.0,Hotel,Local,12.0,"Jl. Setia Budi Kuta, Pertokoan Kuta Poleng Blok C2 Kuta Badung Bali 80361",Indonesia,230.07596775827315
INV-1793/KEVALA/OUT/III/2024,2024-03-26,amanda arumdhani,Four Season Sayan,28904400.0,Hotel,Local,153.0,"Br. Kutuh, Desa Sayan, Ubud, Bali.",Indonesia,1783.088750126617
INV-1796/KEVALA/OUT/III/2024,2024-04-19,simon burgess,Simon Burgess,1840.0,Personal,Export,92.0,Casa Radici Via Conte Camilio Benso di Cavour 7 25077 Roe Volciano Bs Italy,Italy,1840.0
INV-1797/KEVALA/OUT/III/2024,2024-03-29,nusantara ubud,CIPATI YUDHA PERSADA/JVJ Gastro Warung,24697500.0,Restaurant,Local,100.0,"
Indonesia",Indonesia,1523.5685364945173
INV-1800/KEVALA/OUT/III/2024,2024-03-28,sheraton melbourne hotel,Sheraton,624.0,Hotel,Export,24.0,,Australia,624.0
INV-1802/KEVALA/OUT/III/2024,2024-03-29,sharon frances,Sharon Frances,17138400.0,Personal,Local,84.0,,Indonesia,1057.2538518415886
INV-1803/KEVALA/OUT/III/2024,2024-03-31,bukit uluwatu villa,Alila Uluwatu,10439550.0,Hotel,Local,57.0,"Jl. Belimbing Sari, Banjar Tambiyak, Desa Pecatu, Bali, Indonesia.",Indonesia,644.007284751952
INV-1804/KEVALA/OUT/III/2024,2024-03-31,abirupa nusa cipta,Tejaprana Bisma,43401000.0,Hotel,Local,235.0,,Indonesia,2677.372124806095
INV-1805/KEVALA/OUT/IV/2024,2024-04-01,mushka dua bali,Blanche Bistro,19980000.0,Restaurant,Local,80.0,,Indonesia,1232.5498272764632
INV-1806/KEVALA/OUT/IV/2024,2024-04-01,artisan kuliner indonesia,Artisan,53946000.0,Restaurant,Local,240.0,,Indonesia,3327.884533646451
INV-1807/KEVALA/OUT/IV/2024,2024-04-02,abirupa nusa cipta,Tejaprana Bisma,27916500.0,Hotel,Local,230.0,,Indonesia,1722.1460086668362
INV-1808/KEVALA/OUT/IV/2024,2024-04-02,amanda arumdhani,Four Season Sayan,56032800.0,Hotel,Local,250.0,"Br. Kutuh, Desa Sayan, Ubud, Bali.",Indonesia,3456.6175156064373
INV-1809/KEVALA/OUT/IV/2024,2024-04-03,bali perkasa sukses,Indigo Bali,22410900.0,Hotel,Local,79.0,"Jl. Camplung Tanduk No.10, Seminyak Bali 80361",Indonesia,1382.5100562617663
INV-1810/KEVALA/OUT/IV/2024,2024-04-04,indonesia adventure sport,Nihi Sumba,33699600.0,Hotel,Local,120.0,"Jl. Setia Budi Kuta, Pertokoan Kuta Poleng Blok C2 Kuta Badung Bali 80361",Indonesia,2078.900708672968
INV-1811/KEVALA/OUT/IV/2024,2024-04-04,shelter indonesia group,Shelter Pererenan,15706500.0,Restaurant,Local,160.0,,Indonesia,968.9211142201087
INV-1812/KEVALA/OUT/IV/2024,2024-04-09,amanda arumdhani,Four Season Sayan,53685150.0,Hotel,Local,347.0,"Br. Kutuh, Desa Sayan, Ubud, Bali.",Indonesia,3311.7929109014526
INV-1814/KEVALA/OUT/IV/2024,2024-05-16,four seasons resort seychelles petit anse development ltd,Four Seasons Resort Seychelles,366.0,Hotel,Export,16.0,,Seychelles,366.0
INV-1815/KEVALA/OUT/IV/2024,2024-04-16,bukit uluwatu villa,Alila Uluwatu,10352970.0,Hotel,Local,55.0,"Jl. Belimbing Sari, Banjar Tambiyak, Desa Pecatu, Bali, Indonesia.",Indonesia,638.6662355004207
INV-1816/KEVALA/OUT/IV/2024,2024-04-16,bukit uluwatu villa,Alila Uluwatu,2308800.0,Hotel,Local,26.0,"Jl. Belimbing Sari, Banjar Tambiyak, Desa Pecatu, Bali, Indonesia.",Indonesia,142.42798004083576
INV-1817/KEVALA/OUT/IV/2024,2024-04-17,amanda arumdhani,Four Season Sayan,15506700.0,Hotel,Local,58.0,"Br. Kutuh, Desa Sayan, Ubud, Bali.",Indonesia,956.5956159473441
INV-1818/KEVALA/OUT/IV/2024,2024-04-25,jimbaran villas,Bvlgari,15390427.0,Hotel,Local,66.0,"Jalan Goa Lempeh, Banjar Dinas Kangin, Pecatu, Uluwatu, Badung, Bali 80361
Indonesia",Indonesia,949.4228298579088
INV-1819/KEVALA/OUT/IV/2024,2024-04-18,dapur asian lokal,Hujan Lokal,5860800.0,Restaurant,Local,24.0,,Indonesia,361.54794933442923
INV-1820/KEVALA/OUT/IV/2024,2024-04-18,brett hospitality group,Mason Pererenan Barvera,21489600.0,Restaurant,Local,134.0,,Indonesia,1325.6758142262406
INV-1821/KEVALA/OUT/IV/2024,2024-04-19,batu mejan sukses bersama bali,La Brisa,5061600.0,Restaurant,Local,48.0,,Indonesia,312.2459562433707
INV-1822/KEVALA/OUT/IV/2024,2024-04-19,pribadi boga utama,Buzo Restaurant/Salazon,48551400.0,Restaurant,Local,360.0,"JALAN KAYU AYA NO.105 LINGK. BASANGKASA SEMINYAK KUTA
BADUNG BALI
Indonesia",Indonesia,2995.096080281806
INV-1824/KEVALA/OUT/IV/2024,2024-04-22,bali perkasa sukses,Indigo Bali,7215000.0,Hotel,Local,25.0,"Jl. Camplung Tanduk No.10, Seminyak Bali 80361",Indonesia,445.08743762761173
INV-1825/KEVALA/OUT/IV/2024,2024-04-23,karang mas sejahtera,Ayana Hospitality,226480237.0,Hotel,Local,1095.0,"JL KARANG MAS SEJAHTERA, LINGKUNGAN PESALAKAN",Indonesia,13971.380230024148
INV-1826/KEVALA/OUT/IV/2024,2024-04-23,fortuna paradiso optima,The Luxury Collection,250612470.0,Hotel,Local,1487.0,JL WAE CICU - BINONGKO,Indonesia,15460.077908499892
INV-1827/KEVALA/OUT/IV/2024,2024-04-24,anaamaya resort seminyak,Alila Seminyak,438450.0,Hotel,Local,2.0,"Jl. Taman Ganesha No.9
Petitenget, Kerobokan, Bali.

Email: info@alilaseminyak.com",Indonesia,27.047621209677946
INV-1828/KEVALA/OUT/IV/2024,2024-04-24,bukit uluwatu villa,Alila Uluwatu,1953600.0,Hotel,Local,22.0,"Jl. Belimbing Sari, Banjar Tambiyak, Desa Pecatu, Bali, Indonesia.",Indonesia,120.51598311147642
INV-1830/KEVALA/OUT/IV/2024,2024-04-26,wynncor bali,Andaz Bali,24142500.0,Hotel,Local,150.0,"Jalan Danau Tamblingan 89A, Sanur, Bali, 80228, Indonesia.",Indonesia,1489.3310412923931
INV-1831/KEVALA/OUT/IV/2024,2024-04-26,kebun bistro ubud,Kebun Bistro,18559200.0,Restaurant,Local,74.0,"Jl. Hanoman No. 44, Ubud, Kec Ubud, Kab. Gianyar Bali 80571",Indonesia,1144.901839559026
INV-1832/KEVALA/OUT/IV/2024,2024-05-08,amanda arumdhani,Four Season Sayan,46031700.0,Hotel,Local,261.0,"Br. Kutuh, Desa Sayan, Ubud, Bali.",Indonesia,2839.657852064163
INV-1835/KEVALA/OUT/V/2024,2024-05-02,bengawan villa,Bengawan Villa,60517200.0,Hotel,Local,260.0,No. 26 Jl. Dalem Penataran 80351 Kecamatan Mengwi Bali,Indonesia,3733.256476839599
INV-1836/KEVALA/OUT/V/2024,2024-05-02,bukit uluwatu villa,Alila Uluwatu,3740700.0,Hotel,Local,24.0,"Jl. Belimbing Sari, Banjar Tambiyak, Desa Pecatu, Bali, Indonesia.",Indonesia,230.76071766231564
INV-1837/KEVALA/OUT/V/2024,2024-05-02,indonesia adventure sport,Nihi Sumba,21844800.0,Hotel,Local,24.0,"Jl. Setia Budi Kuta, Pertokoan Kuta Poleng Blok C2 Kuta Badung Bali 80361",Indonesia,1347.5878111555999
INV-1838/KEVALA/OUT/V/2024,2024-05-02,jimbaran villas,Bvlgari,11246242.0,Hotel,Local,41.0,"Jalan Goa Lempeh, Banjar Dinas Kangin, Pecatu, Uluwatu, Badung, Bali 80361
Indonesia",Indonesia,693.771453183649
INV-1839/KEVALA/OUT/IV/2024,2024-04-30,grand hyatt jakarta,Plaza Indonesia Realty,44955000.0,Hotel,Local,300.0,,Indonesia,2773.2371113720424
INV-1839/KEVALA/OUT/V/2024,2024-05-06,bali radiance,Bali Radiance,45732000.0,Hotel,Local,206.0,"Jalan Raya Semer No. 99, Kerobokan Kuta Utara, Badung, Bali",Indonesia,2821.169604655016
INV-1840/KEVALA/OUT/V/2024,2024-05-07,nusadua graha international,The Westin Resort Nusa Dua,47186100.0,Hotel,Local,219.0,"Kawasan BTDC Nusa Dua Lot. 3. Kuta Selatan, Kabupaten Badung, Bali, Indonesia",Indonesia,2910.8718420845807
INV-1841/KEVALA/OUT/V/2024,2024-05-07,sejahtera indoco,Nusa Dua Beach,5594400.0,Hotel,Local,28.0,"Kawasan BTDC Blok N.4 Nusa Dua, Kel. Benoa, Kec. Kuta Selatan, Kab. Badung, Prop. Bali
ID - 80363 Bali",Indonesia,345.11395163740974
INV-1842/KEVALA/OUT/V/2024,2024-05-10,buana giri fortuna,Bali Good Food Catering,56743200.0,Restaurant,Local,168.0,"Jl. Sedap Malam No.120, Kesiman, Denpasar Timur",Indonesia,3500.441509465156
INV-1843/KEVALA/OUT/V/2024,2024-05-10,bali radiance,Bali Radiance,122100000.0,Hotel,Local,550.0,"Jalan Raya Semer No. 99, Kerobokan Kuta Utara, Badung, Bali",Indonesia,7532.248944467276
INV-1844/KEVALA/OUT/V/2024,2024-05-13,nusadua graha international,The Westin Resort Nusa Dua,69691350.0,Hotel,Local,298.0,"Kawasan BTDC Nusa Dua Lot. 3. Kuta Selatan, Kabupaten Badung, Bali, Indonesia",Indonesia,4299.202272530709
INV-1845/KEVALA/OUT/V/2024,2024-05-13,fortuna paradiso optima,The Luxury Collection,13956307.0,Hotel,Local,52.0,JL WAE CICU - BINONGKO,Indonesia,860.9531422556204
INV-1846/KEVALA/OUT/V/2024,2024-05-14,maya resort,Maya Sanur,14652277.0,Hotel,Local,51.0,"JL. DANAU TAMBLINGAN NO. 87A, SANUR - KOTA DENPAS",Indonesia,903.8869612390839
INV-1847/KEVALA/OUT/V/2024,2024-05-14,indonesia adventure sport,Nihi Sumba,7770000.0,Hotel,Local,2.0,"Jl. Setia Budi Kuta, Pertokoan Kuta Poleng Blok C2 Kuta Badung Bali 80361",Indonesia,479.32493282973576
INV-1848/KEVALA/OUT/V/2024,2024-05-15,ulekan berawa,Ni Wayan Jonti,12187800.0,Restaurant,Local,58.0,,Indonesia,751.8553946386427
