      ,Client Name,PIC,Quotation Out,Qty (Pcs), Amount (IDR) , Amount (USD) , Amount (AUD) , Amount ( EUR ) , Amount (SGD) , Remark ,Contact Person,Send By,Inquiry,Remark
,,,Purchase Order Received,,,,,,,,,,,
,,,Canceled Purchase Order,,,,,,,,,,,
,,,Order is on hold,,,,,,,,,,,
,2024,,,,,,,,,,,,,
38,Maya Sanur,Pryanka,14/Oct/24,60,"Rp13,500,000.00",,,,,,Pak Gde - Purchasing,Pryanka,,
39,Capella Ubud,Wendy,15/Oct/24,,"Rp52,060,000.00",,,,,,,,,
40,Alila Seminyak Egg Cup,Rahadi,16/Oct/24,50,"Rp2,500,000.00",,,,, PO received 21 Nov,,,,
41,Regent SPA,Nadia,16/Oct/24,384,"Rp61,560,000.00",,,,, PIC Regent Canggu changed to Nadia,,,,
42,Banyan Tree Buahan Additional,Erna,16/Oct/24,,"Rp18,720,000.00",,,,, 2025 target based on client's request,,,,
43,Maya Ubud,Pryanka,18/Oct/24,80,"Rp20,320,000.00",,,,,,Pak Hadi - Purchasing,Pryanka,,
44,Indigo Seminyak (New Item Oval Plate),Erna,18/Oct/24,60,"Rp30,000,000.00",,,,,,,Pryanka,,
45,Amarterra Nusa Dua,Pryanka,18/Oct/24,108,"Rp30,534,000.00",,,,,,Pak Agung - Purchasing,Pryanka,,
46,Four Seasons Maldives,Erna,18/Oct/24,100,," USD  1,290.00 ",,,,,,,,
47,Six Senses La Sagesse (Grenada),Erna,18/Oct/24,310,," USD  4,005.00 ",,,, No feedback from client,,Pryanka,,
48,Smeeta - Chef Jolly,Nadia,18/Oct/24,388,," USD  7,381.00 ",,,, Waiting for client's feedback by email,,,,
49,Regent Canggu Public Bathroom (Diffuser),Nadia,18/Oct/24,50,"Rp9,000,000.00",,,,, PIC Regent Canggu changed from Rahadi to Nadia,,,,
50,The Oberoi Lombok,Rahadi,18/Oct/24,,"Rp7,150,000.00",,,,,,,,,
51,Nihi Rote,Pryanka,22/Oct/24,200,"Rp39,050,000.00",,,,,,Pak Nyoman - Nihi,Pryanka,,
52,Riviera Dining Group,Erna,22/Oct/24,360,," USD  6,180.00 ",,,,,Ines,Pryanka,,
53,Six Senses Uluwatu,Rahadi,22/Oct/24,840,"Rp176,400,000.00",,,,, PO received 9 Dec 2024,Ibu Sugi - Purchasing,Pryanka,,
54,Segara Village Hotel,Erna,22/Oct/24,115,"Rp30,475,000.00",,,,, Canceled by client,,,,
55,Stovey,Nadia,24/Oct/24,1900,," USD  23,000.00 ",,,,,,,,
56,Chella Uluwatu,Rahadi,24/Oct/24,1559,"Rp262,140,000.00",,,,, Design presentation in revision,,,,
57,Hilton London,Nadia,24/Oct/24,100,," USD  1,850.00 ",,,,,,,,
58,Six Senses London Bamboo MUR,Marlo,24/Oct/24,,, USD  216.50 ,,,, Taken from the existing order @1 pc each item,,,,
59,Luna Beach Hotel (Eden) - Satay Grill,Erna,25/Oct/24,20,"Rp8,000,000.00",,,,, FO 4 Dec 24,,,,
60,Mexicola Canggu ,Nadia,25/Oct/24,,"Rp155,200,000.00",,,,, Not decided yet,,,,
61,Wakatobi (Salt & Pepper),Pryanka,28/Oct/24,96,"Rp12,400,000.00",,,,," No Feedback at all, FO 4 Dec 24",Pak Ozi - Purchasing,Pryanka,,
62,ATUS,Nadia,30/Oct/24,,," USD  22,353.00 ",,,, Canceled,,,,
63,Bvlgary,Rahadi,30/Oct/24,,"Rp5,040,000.00",,,,, PO confirm and sign off,,,,
64,Ritz-Carlton Maldives (Beach Shack - Mug),Pryanka,31/Oct/24,100,, USD  950.00 ,,,, Update quote for Mug that we already sent on last month,Ishan - Purchasing,Pryanka,,
65,Fiamma Restaurant (Fieldcrest),Erna,31/Oct/24,,," USD  4,832.00 ",,,, January 2025 target (week 3),,Erna,,
,,,,,,,,,,,,,,
,,,TOTAL,," IDR 1,331,337,600 "," USD  430,039.83 ", IDR - ,,,,,,,
,,,,,,,,,,,,,,
,Total PO Received,,,," IDR  81,290,000 ",,,,,,,,,
,Total PO Not Received,,,," IDR  1,250,047,600 "," USD  430,039.83 ",,,,,,,,
,,,,,,,,,,,,,,
,NOVEMBER'24,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Micha Sanubari,Erna,01/Nov/24,650," IDR  101,750,000 ",,,,," No feedback from the client, FO 3 Dec 24",Ibu Natalie,Pryanka,,
2,Raffles Bali (Ashtray),Erna,01/Nov/24,24," IDR  4,440,000 ",,,,,,Bapak Didik - Purchasing,Pryanka,,
3,Alila Seminyak (Oval Plate),Erna,01/Nov/24,10," IDR  4,200,000 ",,,,, Still following up and there's no feedback yet. Last update 2 Dec '24,                                                             ,Pryanka,,
4,Indigo Seminyak (Oval Plate),Erna,01/Nov/24,20," IDR  10,000,000 ",,,,,,,Erna,,
5,Asa Maia,Erna,04/Nov/24,112," IDR  15,666,000 ",,,,,,Pak Berny,Erna,,
6,Kudeta (creme brulee),Erna,01/Nov/24,30," IDR  2,550,000 ",,,,,,Ibu Sida ,Erna,,
7,Mandai Rainforest (Fieldcrest),Nadia,05/Nov/24,2980,," USD  32,800.00 ",,,," Cancelled, timeline",,,,
8,Maya Ubud (Cups & Saucer),Erna,08/Nov/24,150," IDR  15,247,500 ",,,,, The purchasing still waiting for the approval. Last FO 2 Dec 24,Bapak Hadi - Purchasing,Pryanka,,
9,Waldorf Astoria Maldives Glow,Wendy,07/Nov/24,2300,," USD  38,115.00 ",,,, Last FO by email 2 Dec 2024. PO will be received around 2nd week of Dec ,,,,
10,Billy Ho,Pryanka,08/Nov/24,67," IDR  7,795,000 ",,,,,,Ibu Ratih - Purchasing,Pryanka,,
11,Holiday Inn Benoa (Updated pcs),Pryanka,08/Nov/24,216," IDR 41,940,000 ",,,,, PO received 10 Dec,Ibu Ayu Saras - Purchasing,Pryanka,,
12,Holiday Inn Benoa (Additional Milk Jug),Pryanka,08/Nov/24,15," IDR 1,125,000 ",,,,, PO received 10 Dec,Ibu Ayu Saras - Purchasing,Pryanka,,
13,Naughty Nuri's,Pryanka,08/Nov/24,20," IDR 5,200,000 ",,,,,,Ibu Bintang - Purchasing,Pryanka,,
14,Waldorf Astoria Maldives - IVD,Erna,08/Nov/24,1519,," USD  19,643.90 ",,,, Last FO by email 2 Dec '24,,,,
15,Bokashi ,Erna,12/Nov/24,90," IDR 8,550,000 ",,,,,,,,,
16,Wolfgang Puck Airport,Rahadi,07/Nov/24,830," IDR 139,650,000 ",,,,," Last FO 3 Dec '24, the client will give feedback within this week",Jordi Koenders,Rahadi,,
17,Six Senses Cambodia (amenity bottles),Nadia,12/Nov/24,190,, USD  955.00 ,,,, January 2025 target,,,,
18,The Apurva Kempinski Bali Koral,Erna,12/Nov/24,95," IDR 12,180,000 ",,,,,,,Erna,,
19,The Oberoi Bali,Rahadi,12/Nov/24,600," IDR 108,150,000 ",,,,, Down Payment Paid and process production Nov,,Rahadi,,
20,Jinjoo,Erna,12/Nov/24,100," IDR 22,600,000 ",,,,," Revise quote , will send the new brief to Dwi. FO 2 Dec 24",,Erna,,
21,The Kayon Ubud,Pryanka,12/Nov/24,144," IDR 40,680,000 ",,,,, Update 18 Nov: Chef approved the design & price but they still waiting GM's approval. They said this order approximately will be release on Dec 2024. Last update 2 Dec 24,Bapak Ardi - Purchasing,Pryanka,,
22,Ayana Rimba Dava,Erna,13/Nov/24,24," IDR 6,840,000 ",,,,," Last FO 3 Dec '24. Still checking with the user, probably for 2025 target",Ibu Arvinia - Steward Staff,Erna,,
23,Ayana Segara ,Erna,13/Nov/24,24," IDR 6,960,000 ",,,,," Last FO 3 Dec '24. Still checking with the user, probably for 2025 target",Ibu Arvinia - Steward Staff,Erna,,
24,Ayana Rock Bar ,Erna,13/Nov/24,24," IDR 3,840,000 ",,,,," Last FO 3 Dec '24. Still checking with the user, probably for 2025 target",Ibu Arvinia - Steward Staff,Erna,,
25,Riviera Pererenan,Erna,13/Nov/24,24," IDR 1,680,000 ",,,,,,,,,
26,Langham and Morimoto ,Erna,13/Nov/24,842," IDR 177,535,000 ",,,,," Revise quote 3 Dec '24, adding more items",,,,
27,Pahdi Speciality Coffee - BBQ,Rahadi,14/Nov/24,882," IDR 230,499,750 ",,,,, Down Payment Paid Nov and on process production,,Rahadi,,
28,Six Senses London Public Area,Nadia,14/Nov/24,56,, USD  816.00 ,,,, No feedback yet ,,,,
29,Jumeirah Bali (New Pasta Bowl),Nadia,14/Nov/24,40," IDR 12,000,000 ",,,,, January 2025 target,,,,
30,Fairmont Jakarta ,Rahadi,18/Nov/24,840," IDR 183,600,000 ",,,,," On review by fairmont management, contact 2 Dec 2024",,Rahadi,,
31,Ayana Mid Plaza  Jakarta,Erna,19/Nov/24,224," IDR 36,360,000 ",,,,, FO 4 Dec '24,Ibu Syenny - Purchasing,,,
32,Intercontinental Bandung ,Erna,28/Nov/24,24," IDR 16,620,000 ",,,,, FO 4 Dec '24,Ibu Johana - Purchasing,,,
33,Novotel Bali Benoa,Erna,25/Nov/24,350," IDR 43,650,000 ",,,,, FO 4 Dec '24,Ibu Iluh Nia - Purchasing,,,
34,Capella Ubud,Erna,20/Nov/24,24," IDR 6,840,000 ",,,,, FO 4 Dec '24,Pak Muji - Purchasing ,,,
35,Bali Radiance,Erna,20/Nov/24,150," IDR 24,750,000 ",,,,, FO 3 Dec '24,Mary Muryn - FS Consultan,,,
36,Samara Lombok ,Erna,20/Nov/24,120," IDR 26,280,000 ",,,,, FO 4 Dec '24,Ibu Rosalina- Purchasing,,,
37,The Meru - Repeat Item,Erna,20/Nov/24,982," IDR 121,825,000 ",,,,," Last FO 2 Dec '24, the client is on internal discussion",Ibu Cahyani - Purchasing,,,
38,The Meru - Add Item ,Erna,20/Nov/24,800," IDR 80,000,000 ",,,,," Last FO 2 Dec '24, the client is on internal discussion",Ibu Cahyani - Purchasing,,,
39,Six Senses Uluwatu ,Erna,20/Nov/24,163," IDR 28,665,000 ",,,,," No response yet, last FO 2 Dec '24",Ibu Intan - Purchasing ,,,
40,Voco Quang Binh (Mimosa),Nadia,21/Nov/24,30,, USD  840.00 ,,,, No feedback from Mimosa yet,,,,
41,Intercontinental Bali,Erna,21/Nov/24,80," IDR 7,800,000 ",,,,,,Pak Hang Judha-Procurement Manager,,,
42,Nihi Rote,Erna,23/Nov/24,815," IDR 172,615,000 ",,,,, Hold by client because their still re-budgeting,Pak Marcel - Purchasing,Pryanka,,
43,Six Senses Con Dao,Marloe,25/Nov/24,578,," USD  5,707.00 ",,,, February 2025 target,Danny Nguyen - Purchasing Manager,Marloe,,
44,Janice Wong,Erna,25/Nov/24,20,, USD  500.00 ,,,," Info from Richard Millard (2 Dec), there will be no new order at the moment",,,,
45,Park Hyatt Jakarta (Plates Additional),Rahadi,25/Nov/24,92," IDR 24,360,000 ",,,,," Quotation sent 28 Nov 24, waiting for approval",,Rahadi,,
46,Four Seasons Jakarta Spa ,Rahadi,21/Nov/24,61," IDR 15,430,000 ",,,,," Last FO 25 Nov, waiting PO for Dec since they will need the product in March 25",,Rahadi,,
47,Park Hyatt Jakarta (Lotus Decoration & Plate Stand),Rahadi,20/Nov/24,8," IDR 1,850,000 ",,,,," Quotation sent 28 Nov 24, waiting approval",,Rahadi,,
48,St Regis Jakarta (Japanese Restaurant) Pak Tommy,Rahadi,22/Nov/24,990," IDR 183,300,000 ",,,,," Call client 3 Dec 24, waiting moodboard and venue design from client to make design presentation",,Rahadi,,
49,Paul McAllister,Pryanka,22/Nov/24,12,, USD  228.00 ,,,,,Paul McAllister,Pryanka,,
50,Hiyoko,Pryanka,28/Nov/24,108," IDR 17,340,000 ",,,,,,Pak Nico - Owner,Pryanka,,
51,Renarte,Erna,28/Nov/24,120,," USD  2,580.00 ",,,, FO 4 Dec '24,Rachel - Operation Coordinator,,,
52,Indigo Seminyak (SAMPLE - New Items For Makase Outlet),Rahadi,29/Nov/24,8," IDR 2,320,000 ",,,,, Client still processing PR to their management,Pak Andika - Culinary,Pryanka,,
53,Hilton London (Smeeta),Nadia,28/Nov/24,340,," USD  3,890.00 ",,,, Waiting for PO,,,,
54,Regent Canggu Welcome drinks tray,Nadia,21/11/2024,20," IDR 5,395,000 ",,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,DECEMBER'24,,,,,,,,,,,,,
1,The Westin Nusa Dua,Rahadi,02/Dec/24,72," IDR 15,960,000 ",,,,," repeat order by Chef Dane Ikan Resto, quotation sent 3 Dec 2024",Chef Dane - Executive Chef,Rahadi,,
2,Maya Ubud - Flower Vases for HK (SAMPLE),Nadia,03/Dec/24,5," IDR 900,000 ",,,,, Waiting approval for ,Pak Dewa Alit - Executive HK,Pryanka,,
3,Ayana Bali (Hand Soap Bottle for Spa),Rahadi,03/Dec/24,24," IDR 5,040,000 ",,,,, PO received on 24 Dec 2024,Ibu Made Sutiaji - Spa Manager,Pryanka,,
4,Akasa Kintamani,Rahadi,03/Dec/24,800," IDR 83,500,000 ",,,,,,Bu Anita - Owner,Rahadi,,
5,Four Seasons Sayan SPA,Erna,03/Dec/24,150," IDR 24,750,000 ",,,,, PO received on 27 Dec 2024,Sri Astuti-Assistant Director of Purchasing,,,
6,Sazon SAMPLE (Wine Bucket),Nadia,04/Dec/24,2," IDR 1,085,000 ",,,,,,,,,
7,Sazon,Nadia,04/Dec/24,2022," IDR 449,130,000 ",,,,,,,,,
8,Grafik,Nadia,05/Dec/24,905,," USD  11,793.00 ",,,,,,,,
9,Ku De Ta (Sharing Plate),Erna,05/Dec/24,30," IDR 6,300,000 ",,,,,,,,,
10,Ku De Ta (Bowl),Erna,05/Dec/24,30," IDR 3,900,000 ",,,,,,,,,
11,Melia Bali - Japanese,Nadia,09/Dec/24,240," IDR 38,400,000 ",,,,,,,,,
12,Melia Bali - Samira,Nadia,09/Dec/24,960," IDR 231,840,000 ",,,,,,,,,
13,Melia Bali - Pesetas,Nadia,09/Dec/24,792," IDR 134,760,000 ",,,,,,,,,
14,Solana,Nadia,09/Dec/24,192," IDR 31,380,000 ",,,,,,,,,
15,Handara Golf Handara ,Pryanka,06/Dec/24,888," IDR 224,040,000 ",,,,,,Ibu Amy - Corporate Secretary,Pryanka,,
16,Ootoya Jakarta,Erna,06/Dec/24,384," IDR 74,424,000 ",,,,,,,,,
17,Six Senses Kanuhura,Erna,06/Dec/24,200,," USD  1,885.00 ",,,,,,,,
18,Shelter Pererenan (Item Sharing Plate),Erna,06/Dec/24,50," IDR 7,500,000 ",,,,,,Agus - Purchasing,Pryanka,,
19,Ayana Jakarta Mid Plaza,Erna,09/Dec/24,," IDR 3,360,000 ",,,,,,,,,
20,Nam Heong Asia Pacific,Pryanka,09/Dec/24,400,," USD  5,200.00 ",,,, Follow up 06/01/25,Nick Teh - Chef,Pryanka,,
21,Nam Heong Kopitiam (Xixi Cafe Puchong),Pryanka,09/Dec/24,240,," USD  4,710.00 ",,,, Follow up 06/01/25,Nick Teh - Chef,Pryanka,,
22,Nam Heong - Museum Puchong,Pryanka,09/Dec/24,204,," USD  2,862.00 ",,,, Follow up 06/01/25,Nick Teh - Chef,Pryanka,,
23,Revolver Seminyak,Erna,09/Dec/24,87," IDR  20,220,000 ",,,,,,,,,
24,Revolver Airport - Domestic,Erna,09/Dec/24,36," IDR  9,000,000 ",,,,,,,,,
25,Revolver Airport - International,Erna,09/Dec/24,48," IDR  12,000,000 ",,,,,,,,,
26,Fairmont Jakarta,Rahadi,09/Dec/24,820," IDR  167,300,000 ",,,,,,,,,
27,Solana Retreat Ubud,Nadia,10/Dec/24,170," IDR  30,850,000 ",,,,,,,,,
28,Tabula Rasa Lombok - Lunch & Dinner,Nadia,10/Dec/24,,,,,,,,Koen ,,,
29,Tabula Rasa Lombok - Bar,Nadia,10/Dec/24,,,,,,,,Koen ,,,
30,Tabula Rasa Lombok - Beach ,Nadia,10/Dec/24,,,,,,,,Koen ,,,
31,Gio Private Villa,Pryanka,12/Dec/24,264," IDR  49,680,000 ",,,,,,,,,
32,Luna Beach Hotel,Pryanka,12/Dec/24,144," IDR  29,640,000 ",,,,, Follow up 06/01/25,,,,
33,Hilton London,Nadia,16/Dec/24,380,," USD  4,305.00 ",,,,,,,,
34,32Do Bali,Rahadi,16/Dec/24,100," IDR  7,000,000 ",,,,,,,,,
35,Greek Restaurant,Pryanka,16/Dec/24,," IDR  165,840,000 ",,,,, Follow up 06/01/25,,,,
36,Cush Cush Gallery ,Pryanka,16/Dec/24,," IDR  2,265,900,000 ",,,,,,,,,
37,R&B Steak Bali,Erna,17/Dec/24,," IDR  176,250,000 ",,,,,,,,,
38,Samara Boat,Erna,17/Dec/24,," IDR  67,785,000 ",,,,,,,,,
39,Khadak Restaurant,Nadia,17/Dec/24,170,," USD  2,310.00 ",,,,,,,,
40,Intercontinental Jimbaran ,Pryanka,18/Dec/24,100," IDR  24,000,000 ",,,,, PO Received 03/01/25,,,,
41,Nihi Sumba,Pryanka,18/Dec/24,5," IDR  17,500,000 ",,,,, Follow up 06/01/25,,,,
42,The Oberoi Sample Candle,Rahadi,18/Dec/24,3," IDR  650,000 ",,,,,,,,,
43,Ayana Kisik Restaurant,Rahadi,19/Dec/24,," IDR  62,550,000 ",,,,,,,,,
44,Ayana Bali (Sambal Dish & Tray),Rahadi,19/Dec/24,280," IDR  37,900,000 ",,,,,,,,,
45,Riviera Pererenan (Sharing Plate),Rahadi,20/Dec/24,50," IDR  9,250,000 ",,,,,,,,,
46,DOPA SAMPLE,Nadia,23/Dec/24,1,, USD  26.50 ,,,,,,,,
47,Regent Canggu (Reed Diffuser),Nadia,23/Dec/24,24," IDR  4,680,000 ",,,,,,,,,
48,Tejaprana Bisma Ubud (HK),Pryanka,24/Dec/24,296," IDR  34,090,000 ",,,,, Received PO on 31 Dec 2024,,Pryanka,,
49,Ayana Karang ,Pryanka,24/Dec/24,2215," IDR  325,650,000 ",,,,,,,Pryanka,,
50,The Westin Nusa Dua (Cup Set),Rahadi,24/Dec/24,216," IDR  25,200,000 ",,,,,,,,,
51,The Westin Nusa Dua (SAMPLE),Rahadi,24/Dec/24,5," IDR  2,385,000 ",,,,,,,,,
52,Mimosa,Nadia,24/Dec/24,160,," USD  3,116.00 ",,,,,,,,
53,Six Senses Amaala (7 Outlet),Nadia,24/Dec/24,,," USD  132,234.50 ",,,,,,,,
54,Mukti SAMPLE,Nadia,24/Dec/24,,,,,,,,,,,
55,Cap Karoso,Rahadi,24/Dec/24,1595," IDR  223,650,000 ",,,,,,,,,
56,Soichiro (Sake Set),Pryanka,26/Dec/24,150," IDR  15,250,000 ",,,,, Follow up 06/01/25,,,,
57,Tabula Rasa SAMPLE,Nadia,26/Dec/24,," IDR  4,600,000 ",,,,,,,,,
58,Six Senses Le Sagesse,Erna,30/Dec/24,,," USD  5,135.00 ",,,,,,,,
,,,,,,,,,,,,,,
,2025,,,,,,,,,,,,,
,JANUARY'25,,,,,,,,,,,,,
1,Fieldworks - Mandarin Oriental MUR [SAMPLE],Pryanka,02/Jan/25,," IDR  1,040,000 ",,,,, PO received 14 Jan 2025,,Pryanka,,
2,Nihi Sumba (Mug),Pryanka,02/Jan/25,," IDR  7,000,000 ",,,,, PO received 2 Jan 2025,,Pryanka,,
3,Khadak Restaurant,Nadia,02/Jan/25,12,, USD  276.00 ,,,,,,,,
4,Made by Umah,Rahadi,02/Jan/25,100," IDR  30,000,000 ",,,,,,,,,
5,InterContinental Jimbaran,Pryanka,06/Jan/25,260," IDR  42,750,000 ",,,,,,,,,
6,Fieldworks - Mandarin Oriental for Suite [SAMPLE],Pryanka,06/Jan/25,22," IDR  3,100,000 ",,,,,,Ibu Intan Fieldworks,Pryanka,,
7,Jumeirah Bali (Cloche),Nadia,07/Jan/25,150," IDR  36,000,000 ",,,,, PO coming in Q2 - 2025,,,,
8,Chella Uluwatu SAMPLE,Rahadi,07/Jan/25,,,,,,,,,,,
9,Dragonfly Villla,Rahadi,07/Jan/25,240," IDR  40,236,000 ",,,,,,,,,
10,ACT Resto (MG Hotel Supplies) SAMPLE,Nadia,08/Jan/25,4,, USD  57.00 ,,,,,,,,
11,Fairmont Jakarta,Rahadi,09/Jan/25,820," IDR  167,300,000 ",,,,,,,,,
12,Nihi Sumba (Curry Bowl),Pryanka,13/Jan/25,120," IDR  25,200,000 ",,,,, PO received 14 Jan 2025,Ibu Anis - Purchasing,Pryanka,,
13,Japa Ubud,Pryanka,13/Jan/25,615," IDR  106,600,000 ",,,,, PO received 15 Jan 2025,Bapak Gilang - Owner,Pryanka,,
14,Holiday Inn Benoa (Additional - Salad Bowl),Pryanka,13/Jan/25,36," IDR  9,360,000 ",,,,,,Ibu Ayu Saraswati - Purchasing,Pryanka,,
15,Six Senses Con Dao,Nadia,15/Jan/25,578,," USD  5,611.00 ",,,,,,,,
16,Six Senses Belize,Nadia,16/Jan/25,694,," USD  15,371.00 ",,,, 25/02: will contact the agent today,,,,
17,Kaia Restaurant,Pryanka,16/Jan/25,60," IDR  16,200,000 ",,,,, PO received 21 Jan 2025,Ibu Rahma Purchasing,Pryanka,,
18,"Ayana Bali (6 Outlet - Updated with discount 8,62%)",Pryanka,20/Jan/25,3955," IDR  630,613,380 ",,,,, PO received 23 Jan 2025,Ibu Suwirya - Purchasing,Pryanka,,
19,VDA,Nadia,20/Jan/25,,," USD  24,443.10 ",,,,,,,,
20,Sandy Toes,Nadia,20/Jan/25,,," USD  5,648.85 ",,,,,,,,
21,Riviera Pererenan,Rahadi,20/Jan/25,," IDR  12,610,000 ",,,,,,,,,
22,Greek Restaurant,Pryanka,21/Jan/25,1755," IDR  327,341,500 ",,,,, PO received 22 Jan 2025,Maria - Manager,Pryanka,,
23,Cap Karoso,Rahadi,21/Jan/25,1815," IDR  245,200,000 ",,,,, PO received 10 Feb 2025,,,,
24,Micha Sanubari,Pryanka,21/Jan/25,50," IDR  12,500,000 ",,,,," 26/02: This is include with the quotation with total amount Rp 116,250,000",Ibu Natalie Olin - Manager,Pryanka,,
25,Alila Seminyak (Update),Pryanka,21/Jan/25,108," IDR  3,063,600 ",,,,, 25/02: Pryanka will contact the client today,Pak Ketut - Purchasing,Pryanka,,
26,Riviera Cafe,Rahadi,22/Jan/25,60," IDR  6,060,000 ",,,,,,,,,
27,Chella Uluwatu ,Rahadi,22/Jan/25,1160," IDR  199,865,000 ",,,,,,,,,
28,Fairmont Jakarta,Rahadi,22/Jan/25,300," IDR  77,400,000 ",,,,, Not in their budget ,,,,
29,St Regis Jakarta SAMPLE,Rahadi,22/Jan/25,10," IDR  2,440,000 ",,,,,,,,,
30,Cempaka MUR,Rahadi,22/Jan/25,,, USD  665.50 ,,,, Received in February,,,,
31,Alila Uluwatu,Pryanka,22/Jan/25,168," IDR  30,840,000 ",,,,, CANCEL. USER CONSIDERING NEW DESIGN.,Ibu Kristina - Purchasing,Pryanka,,
32,Joali Maldives IVD,Pryanka,22/Jan/25,420,," USD  2,880.00 ",,,,,,,,
33,Ginger Moon,Pryanka,22/Jan/25,24," IDR  4,440,000 ",,,,, PO received 24 Jan 2025,,Pryanka,,
34,Meru Sanur Repeat ,Rahadi,24/Jan/25,," IDR  205,625,000 ",,,,,,,,,
35,Banyan Tree Buahan ,Pryanka,24/Jan/25,120," IDR  12,480,000 ",,,,, PO Received 5 Feb 2025,Chef Sheandy ,Pryanka,,
36,Micha Sanubari [Updated],Erna,24/Jan/25,800," IDR  116,250,000 ",,,,,,Ibu Natalie Olin - Manager,Erna ,,
37,Samanvaya,Pryanka,27/Jan/25,206," IDR  26,125,000 ",,,,, PO received 4 Feb 2025,Ibu Diah - Purchasing,Pryanka,,
38,Boga Utama All outlet,Erna,27/Jan/25,1728," IDR  455,160,000 ",,,,,,Pak Sima dan Bu Sarita,Erna ,,
39,Boma Beach Additional,Nadia,27/Jan/25,50,, USD  670.00 ,,,,,,,,
40,Motel Mexicola,Wendy,27/Jan/25,920," IDR  209,800,000 ",,,,,,,,,
41,Drifter Additional,Erna,27/Jan/25,100," IDR  4,480,800 ",,,,,,,,,
42,The Meru Sanur ,Rahadi,27/Jan/25,450," IDR  35,750,000 ",,,,," 27/02: Order production on hold, the payment will be made in April ",,,,
43,The Meru Sanur ,Rahadi,27/Jan/25,320," IDR  48,000,000 ",,,,," 27/02: Order production on hold, the payment will be made in April ",,,,
44,The Meru Sanur ,Rahadi,27/Jan/25,662," IDR  73,825,000 ",,,,," 27/02: Order production on hold, the payment will be made in April ",,,,
45,The Meru Sanur ,Rahadi,27/Jan/25,574," IDR  48,050,000 ",,,,," 27/02: Order production on hold, the payment will be made in April ",,,,
46,Indigo Seminyak ,Pryanka,27/Jan/25,100," IDR  23,170,000 ",,,,, PO received 5 Feb & 10 Feb 2025,Pak Andika - Steward Culinary,Pryanka,,
47,Suarga Padang Padang,Pryanka,27/Jan/25,29," IDR  6,240,000 ",,,,,,Ibu Rian - Purchasing,Pryanka,,
48,Solana Retreat Ubud,Nadia,29/Jan/25,135," IDR  27,700,000 ",,,,,,,,,
49,Six Senses London Residences,Nadia,29/Jan/25,123,," USD  1,857.00 ",,,,,,,,
50,Nliving By Nabina Holding Qatar,Wendy,29/Jan/25,,," USD  101,060.00 ",,,,,,,,
51,The Melia Sante (Moodboard),Nadia,30/Jan/25,2340," IDR  531,900,000 ",,,,, In Sales Target April,,,,
52,Four Season Nam Hai,Nadia,30/Jan/25,6460,," USD  107,000.00 ",,,, 25/02: Nadia will contact the agent,,,,
53,Indigo Bandung (Moodboard),Rahadi,31/Jan/25,692," IDR  153,310,000 ",,,,, in Sales Target March,,,,
54,Nihi Sumba (F&B Outlet),Pryanka,31/Jan/25,523," IDR  160,816,523 ",,,,, PO received on Feb,Pak Burhan - Purchasing Manager,Pryanka,,
,,,,,,,,,,,,,,
,FEBRUARY'25,,,,,,,,,,,,,
1,Mandarin Oriental Bali - Ashtray SAMPLE,Pryanka,04/Feb/25,6," IDR  990,000 ",,,,,,Ibu Intan Fieldworks,Pryanka,,
2,Nihi Sumba (Bnb Plate),Pryanka,04/Feb/25,75," IDR  15,000,000 ",,,,,,Ibu Anis - Purchasing,Pryanka,,
3,Nihi Sumba (Clay Pot),Pryanka,04/Feb/25,45," IDR  16,875,000 ",,,,, In Sales Target May 2025,Ibu Anis - Purchasing,Pryanka,,
4,Nihi Sumba (Milk Pitcher),Pryanka,04/Feb/25,80," IDR  15,200,000 ",,,,,,Ibu Anis - Purchasing,Pryanka,,
5,Maya Ubud Vases SAMPLE,Pryanka,04/Feb/25,2," IDR  440,000 ",,,,, PO received 24 Feb 2025,Pak Dewa Alit - EHK,Pryanka,,
6,Andaz Bali,Pryanka,04/Feb/25,278," IDR  40,375,000 ",,,,,,Pak Adi Sastra - Purchasing,Pryanka,,
7,Alila Seminyak - Seasalt,Pryanka,04/Feb/25,400," IDR  53,875,000 ",,,,,,Pak Ketut Partayasa - Material Manager,Pryanka,,
8,Akasa Kintamani,Rahadi,04/Feb/25,650," IDR  70,500,000 ",,,,,,,,,
9,Four Season Maldives Landaa,Rahadi,04/Feb/25,161,," USD  1,860.00 ",,,, PO received 7 Feb 2025,,,,
10,Jumeirah Bali ,Pryanka,05/Feb/25,450," IDR  94,500,000 ",,,,,,Chef Alessio,Pryanka,,
11,Nliving By Nabina Holding Qatar (updated),Rahadi,05/Feb/25,3294,," USD  53,480.00 ",,,,,,,,
12,Nihi Sumba BnB Plate,Pryanka,06/Feb/25,48," IDR  9,600,000 ",,,,, PO received 10 Feb 2025,Ibu Anis - Purchasing,Pryanka,,
13,Nihi Sumba Milk Pitcher,Pryanka,06/Feb/25,24," IDR  4,560,000 ",,,,, PO received 10 Feb 2025,Ibu Anis - Purchasing,Pryanka,,
